attack,rep,config,accuracy,f1
Noise SNR=30dB,1,MFCC only,0.9,0.8936170212765957
Noise SNR=30dB,1,All features,0.46,0.6301369863013698
Noise SNR=30dB,2,MFCC only,0.92,0.9130434782608695
Noise SNR=30dB,2,All features,0.46,0.6301369863013698
Noise SNR=30dB,3,MFCC only,0.9,0.8936170212765957
Noise SNR=30dB,3,All features,0.46,0.6301369863013698
Noise SNR=30dB,4,MFCC only,0.9,0.8936170212765957
Noise SNR=30dB,4,All features,0.46,0.6301369863013698
Noise SNR=30dB,5,MFCC only,0.9,0.8888888888888888
Noise SNR=30dB,5,All features,0.46,0.6301369863013698
Noise SNR=30dB,6,MFCC only,0.94,0.9333333333333333
Noise SNR=30dB,6,All features,0.46,0.6301369863013698
Noise SNR=30dB,7,MFCC only,0.9,0.8888888888888888
Noise SNR=30dB,7,All features,0.46,0.6301369863013698
Noise SNR=30dB,8,MFCC only,0.96,0.9565217391304348
Noise SNR=30dB,8,All features,0.46,0.6301369863013698
Noise SNR=30dB,9,MFCC only,0.92,0.9090909090909091
Noise SNR=30dB,9,All features,0.46,0.6301369863013698
Noise SNR=30dB,10,MFCC only,0.9,0.8936170212765957
Noise SNR=30dB,10,All features,0.46,0.6301369863013698
Noise SNR=20dB,1,MFCC only,0.88,0.875
Noise SNR=20dB,1,All features,0.46,0.6301369863013698
Noise SNR=20dB,2,MFCC only,0.92,0.9166666666666666
Noise SNR=20dB,2,All features,0.46,0.6301369863013698
Noise SNR=20dB,3,MFCC only,0.86,0.8571428571428571
Noise SNR=20dB,3,All features,0.46,0.6301369863013698
Noise SNR=20dB,4,MFCC only,0.9,0.8979591836734694
Noise SNR=20dB,4,All features,0.46,0.6301369863013698
Noise SNR=20dB,5,MFCC only,0.86,0.8571428571428571
Noise SNR=20dB,5,All features,0.46,0.6301369863013698
Noise SNR=20dB,6,MFCC only,0.9,0.8936170212765957
Noise SNR=20dB,6,All features,0.46,0.6301369863013698
Noise SNR=20dB,7,MFCC only,0.88,0.875
Noise SNR=20dB,7,All features,0.46,0.6301369863013698
Noise SNR=20dB,8,MFCC only,0.9,0.8979591836734694
Noise SNR=20dB,8,All features,0.46,0.6301369863013698
Noise SNR=20dB,9,MFCC only,0.9,0.8979591836734694
Noise SNR=20dB,9,All features,0.46,0.6301369863013698
Noise SNR=20dB,10,MFCC only,0.9,0.8979591836734694
Noise SNR=20dB,10,All features,0.46,0.6301369863013698
Noise SNR=10dB,1,MFCC only,0.74,0.7796610169491526
Noise SNR=10dB,1,All features,0.46,0.6301369863013698
Noise SNR=10dB,2,MFCC only,0.74,0.7796610169491526
Noise SNR=10dB,2,All features,0.46,0.6301369863013698
Noise SNR=10dB,3,MFCC only,0.7,0.7457627118644068
Noise SNR=10dB,3,All features,0.46,0.6301369863013698
Noise SNR=10dB,4,MFCC only,0.68,0.7333333333333333
Noise SNR=10dB,4,All features,0.46,0.6301369863013698
Noise SNR=10dB,5,MFCC only,0.7,0.7540983606557377
Noise SNR=10dB,5,All features,0.46,0.6301369863013698
Noise SNR=10dB,6,MFCC only,0.7,0.7457627118644068
Noise SNR=10dB,6,All features,0.46,0.6301369863013698
Noise SNR=10dB,7,MFCC only,0.68,0.7333333333333333
Noise SNR=10dB,7,All features,0.46,0.6301369863013698
