held_out,config,accuracy,f1,auc,eer,train_size,test_size
elevenlabs,MFCC only,0.924,0.9337979094076655,0.9864666666666666,0.053333333333333316,750,250
elevenlabs,CQCC only,0.628,0.579185520361991,0.8098,0.2833333333333333,750,250
elevenlabs,Pauses only,0.872,0.8918918918918919,0.9187333333333333,0.14,750,250
elevenlabs,RQA only,0.78,0.7908745247148289,0.8824666666666667,0.19000000000000003,750,250
elevenlabs,MFCC+CQCC,0.908,0.9187279151943463,0.9860666666666666,0.04500000000000002,750,250
elevenlabs,Novel only,0.864,0.8759124087591241,0.9726666666666667,0.08833333333333333,750,250
elevenlabs,All features,0.912,0.9225352112676056,0.9870000000000001,0.053333333333333316,750,250
google,MFCC only,0.9054545454545454,0.9216867469879518,0.9847428571428571,0.03714285714285713,725,275
google,CQCC only,0.5236363636363637,0.4279475982532751,0.7285142857142857,0.3414285714285714,725,275
google,Pauses only,0.7090909090909091,0.7435897435897436,0.8442857142857143,0.28571428571428575,725,275
google,RQA only,0.88,0.9020771513353115,0.9372571428571429,0.09571428571428571,725,275
google,MFCC+CQCC,0.84,0.8589743589743589,0.9814857142857143,0.05857142857142858,725,275
google,Novel only,0.8690909090909091,0.8881987577639752,0.9798857142857142,0.05571428571428569,725,275
google,All features,0.8072727272727273,0.8239202657807309,0.9820571428571429,0.06428571428571431,725,275
polly,MFCC only,0.8981818181818182,0.9151515151515152,0.9822285714285715,0.07999999999999999,725,275
polly,CQCC only,0.4618181818181818,0.32727272727272727,0.7316571428571429,0.2985714285714286,725,275
polly,Pauses only,0.5745454545454546,0.5301204819277109,0.8426,0.245,725,275
polly,RQA only,0.88,0.9014925373134328,0.9552285714285713,0.11214285714285716,725,275
polly,MFCC+CQCC,0.9090909090909091,0.924924924924925,0.9862857142857143,0.06642857142857142,725,275
polly,Novel only,0.9490909090909091,0.9593023255813954,0.9938285714285714,0.05857142857142858,725,275
polly,All features,0.9381818181818182,0.9492537313432836,0.9925142857142857,0.05857142857142858,725,275
