config,classifier,n_features,accuracy,precision,recall,f1,auc,eer,best_params,cv_best_score
MFCC only,Logistic Regression,39,0.97,0.9795918367346939,0.96,0.9696969696969697,0.9945999999999999,0.030000000000000013,{'C': 1},0.962290906166025
MFCC only,SVM,39,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9984999999999999,0.04000000000000002,"{'C': 10, 'gamma': 'scale'}",0.9766633503179974
MFCC only,Random Forest,39,0.965,0.9428571428571428,0.99,0.9658536585365853,0.99715,0.04500000000000002,"{'max_depth': 20, 'n_estimators': 200}",0.965458867487853
CQCC only,Logistic Regression,13,0.74,0.6935483870967742,0.86,0.7678571428571429,0.8023,0.26,{'C': 0.1},0.7530228392297358
CQCC only,SVM,13,0.925,0.897196261682243,0.96,0.927536231884058,0.97635,0.05500000000000002,"{'C': 10, 'gamma': 'auto'}",0.9399702763942626
CQCC only,Random Forest,13,0.88,0.8392857142857143,0.94,0.8867924528301887,0.9573500000000001,0.11499999999999999,"{'max_depth': None, 'n_estimators': 200}",0.8941910712588165
RQA only,Logistic Regression,7,0.91,0.9019607843137255,0.92,0.9108910891089109,0.9442999999999999,0.115,{'C': 1},0.8531066688085767
RQA only,SVM,7,0.915,0.8952380952380953,0.94,0.9170731707317074,0.96,0.08999999999999998,"{'C': 10, 'gamma': 'auto'}",0.8607288397277351
RQA only,Random Forest,7,0.875,0.8712871287128713,0.88,0.8756218905472637,0.948,0.13,"{'max_depth': 10, 'n_estimators': 100}",0.8665471041047693
Entropy only,Logistic Regression,10,0.665,0.6896551724137931,0.6,0.6417112299465241,0.7411000000000001,0.31000000000000005,{'C': 10},0.7099342201493324
Entropy only,SVM,10,0.76,0.7653061224489796,0.75,0.7575757575757576,0.7617,0.235,"{'C': 10, 'gamma': 'auto'}",0.7299165988448163
Entropy only,Random Forest,10,0.665,0.6542056074766355,0.7,0.6763285024154589,0.7161500000000001,0.355,"{'max_depth': 10, 'n_estimators': 100}",0.698892571484798
Pauses only,Logistic Regression,8,0.845,0.8108108108108109,0.9,0.8530805687203792,0.8981000000000001,0.17500000000000002,{'C': 10},0.8680528364573952
Pauses only,SVM,8,0.885,0.8737864077669902,0.9,0.8866995073891626,0.9262,0.14500000000000002,"{'C': 10, 'gamma': 'scale'}",0.8855840083281743
Pauses only,Random Forest,8,0.855,0.865979381443299,0.84,0.8527918781725888,0.9317500000000001,0.13,"{'max_depth': 10, 'n_estimators': 100}",0.869124062527594
MFCC+CQCC,Logistic Regression,52,0.985,0.970873786407767,1.0,0.9852216748768473,0.9994999999999999,0.010000000000000005,{'C': 10},0.9702758495822821
MFCC+CQCC,SVM,52,0.985,0.970873786407767,1.0,0.9852216748768473,0.9996999999999999,0.0050000000000000044,"{'C': 10, 'gamma': 'scale'}",0.9838644410058475
MFCC+CQCC,Random Forest,52,0.98,0.9615384615384616,1.0,0.9803921568627451,0.99885,0.015000000000000005,"{'max_depth': 20, 'n_estimators': 200}",0.978972275758254
All features,Logistic Regression,77,0.99,0.9803921568627451,1.0,0.9900990099009901,0.9995999999999999,0.010000000000000005,{'C': 10},0.9850755163246891
All features,SVM,77,0.985,0.9801980198019802,0.99,0.9850746268656716,0.9995999999999999,0.0050000000000000044,"{'C': 1, 'gamma': 'scale'}",0.9912731942654011
All features,Random Forest,77,0.99,0.9803921568627451,1.0,0.9900990099009901,0.9998,0.015000000000000005,"{'max_depth': 10, 'n_estimators': 200}",0.9875302818541811
