attack,rep,config,accuracy,f1
Noise SNR=30dB,1,MFCC only,0.9,0.8936170212765957
Noise SNR=30dB,1,All features,0.56,0.26666666666666666
Noise SNR=30dB,2,MFCC only,0.92,0.9130434782608695
Noise SNR=30dB,2,All features,0.56,0.3125
Noise SNR=30dB,3,MFCC only,0.9,0.8936170212765957
Noise SNR=30dB,3,All features,0.62,0.3448275862068966
Noise SNR=30dB,4,MFCC only,0.9,0.8936170212765957
Noise SNR=30dB,4,All features,0.56,0.42105263157894735
Noise SNR=30dB,5,MFCC only,0.9,0.8888888888888888
Noise SNR=30dB,5,All features,0.58,0.2222222222222222
Noise SNR=30dB,6,MFCC only,0.94,0.9333333333333333
Noise SNR=30dB,6,All features,0.52,0.25
Noise SNR=30dB,7,MFCC only,0.9,0.8888888888888888
Noise SNR=30dB,7,All features,0.54,0.25806451612903225
Noise SNR=30dB,8,MFCC only,0.96,0.9565217391304348
Noise SNR=30dB,8,All features,0.56,0.26666666666666666
Noise SNR=30dB,9,MFCC only,0.92,0.9090909090909091
Noise SNR=30dB,9,All features,0.54,0.14814814814814814
Noise SNR=30dB,10,MFCC only,0.9,0.8936170212765957
Noise SNR=30dB,10,All features,0.58,0.3225806451612903
Noise SNR=20dB,1,MFCC only,0.88,0.875
Noise SNR=20dB,1,All features,0.44,0.5757575757575758
Noise SNR=20dB,2,MFCC only,0.92,0.9166666666666666
Noise SNR=20dB,2,All features,0.4,0.5454545454545454
Noise SNR=20dB,3,MFCC only,0.86,0.8571428571428571
Noise SNR=20dB,3,All features,0.46,0.6197183098591549
Noise SNR=20dB,4,MFCC only,0.9,0.8979591836734694
Noise SNR=20dB,4,All features,0.46,0.6086956521739131
Noise SNR=20dB,5,MFCC only,0.86,0.8571428571428571
Noise SNR=20dB,5,All features,0.46,0.5970149253731343
Noise SNR=20dB,6,MFCC only,0.9,0.8936170212765957
Noise SNR=20dB,6,All features,0.52,0.6571428571428571
Noise SNR=20dB,7,MFCC only,0.88,0.875
