attack,config,accuracy,f1,n_samples
Clean (baseline),MFCC only,0.96,0.9583333333333334,50
Clean (baseline),All features,1.0,1.0,50
Noise SNR=30dB,MFCC only,0.92,0.9090909090909091,50
Noise SNR=30dB,All features,0.52,0.2,50
Noise SNR=20dB,MFCC only,0.92,0.9166666666666666,50
Noise SNR=20dB,All features,0.46,0.6086956521739131,50
Noise SNR=10dB,MFCC only,0.72,0.7666666666666667,50
Noise SNR=10dB,All features,0.46,0.6301369863013698,50
MP3 128kbps,MFCC only,0.98,0.9787234042553191,50
MP3 128kbps,All features,0.88,0.8571428571428571,50
MP3 64kbps,MFCC only,0.98,0.9787234042553191,50
MP3 64kbps,All features,0.88,0.8571428571428571,50
MP3 32kbps,MFCC only,0.96,0.9565217391304348,50
MP3 32kbps,All features,0.88,0.8636363636363636,50
Pitch +2 semi,MFCC only,0.92,0.9130434782608695,50
Pitch +2 semi,All features,0.96,0.9583333333333334,50
Pitch -2 semi,MFCC only,0.84,0.8,50
Pitch -2 semi,All features,0.46,0.6301369863013698,50
BG Noise 20dB,MFCC only,0.88,0.85,50
BG Noise 20dB,All features,0.4,0.5161290322580645,50
BG Noise 10dB,MFCC only,0.78,0.6857142857142857,50
BG Noise 10dB,All features,0.46,0.6301369863013698,50
